==================================================================================================================================================
[FIRE DISCIPLINE SUPER-MATRIX] ALL-WEAPONS MODULE IMPACT & TACTICAL OUTCOME REPORT
Total Ranged Weapons Scanned: 161
Settings: B6 Rapid Full-Auto=True, Hit Variance Module=True, Embrasure=False
==================================================================================================================================================
DefName                   |Class     |DefBurst|B6Burst|BaseDmg|BaseCycle| BaseDPS|RapidDPS|FullAutoDPS|B8Variance|All-ON Ratio|
-------------------------------------------------------------------------------------------------------------------------------------------------
Artillery_AutoMortar      |Sniper    |       1|      1|     50|    5.00s|    10.0|    16.7|       16.7|Quota     |       1.67x|
Artillery_Mortar          |Sniper    |       1|      1|      0|    5.00s|     0.0|     0.0|        0.0|Quota     |       1.00x|
Bow_Great                 |Pistol/DMR|       1|      1|     17|    3.50s|     4.9|     6.8|        6.8|Quota     |       1.40x|
Bow_Great_Unique          |Pistol/DMR|       1|      1|     17|    3.50s|     4.9|     6.8|        6.8|Quota     |       1.40x|
Bow_Recurve               |Pistol/DMR|       1|      1|     14|    3.10s|     4.5|     5.9|        5.9|Quota     |       1.31x|
Bow_Short                 |Pistol/DMR|       1|      1|     11|    3.00s|     3.7|     4.7|        4.7|Quota     |       1.29x|
Flamebow                  |Pistol/DMR|       1|      1|      6|    3.00s|     2.0|     2.6|        2.6|Quota     |       1.29x|
Gun_AncientArmoredTurret  |Rifle/SMG |       3|      3|      8|    6.53s|     3.7|     3.7|        3.7|Pity      |       1.00x|
Gun_AssaultRifle          |Rifle/SMG |       3|      3|     11|    3.03s|    10.9|    13.0|       13.0|Pity      |       1.20x|
Gun_AssaultRifle_Unique   |Rifle/SMG |       3|      3|     11|    3.03s|    10.9|    13.0|       13.0|Pity      |       1.20x|
Gun_AutocannonTurret      |Rifle/SMG |       3|      3|     27|    4.07s|    19.9|    19.9|       19.9|Pity      |       1.00x|
Gun_Autopistol            |Pistol/DMR|       1|      1|     10|    1.30s|     7.7|     8.7|        8.7|Quota     |       1.13x|
Gun_BeamGraser            |LMG/Heavy |       5|      7|      0|    4.17s|     0.0|     0.0|        0.0|Pity (B6) |       1.00x|
Gun_BeamRepeater          |LMG/Heavy |      30|     45|      5|   11.83s|    12.7|    15.3|       15.9|Pity (B6) |       1.26x|
Gun_BeamRepeater_Unique   |LMG/Heavy |      30|     45|      5|   11.83s|    12.7|    15.3|       15.9|Pity (B6) |       1.26x|
